crop_type,crop_growth_stage,soil_type,soil_ph,soil_moisture,organic_carbon,electrical_conductivity,N,P,K,temperature_c,humidity,rainfall_mm,sunlight_hours,wind_speed_kmh,season,irrigation_type,water_source,field_area_hectare,mulching_used,previous_irrigation_mm,region,irrigation_need,water_required_mm
Maize,Harvest,Clay,5.43,12.79,0.91,1.68,76.0,48.5,20.0,18.39,42.08,1190.29,7.65,13.03,Kharif,Rainfed,River,14.82,Yes,23.88,Central,Low,9.23
Maize,Sowing,Silt,5.09,58.75,0.66,0.58,76.0,48.5,20.0,25.6,55.98,1201.45,6.92,0.63,Kharif,Rainfed,Rainwater,6.87,Yes,55.83,North,Low,23.32
Rice,Vegetative,Clay,6.28,34.89,1.54,0.71,80.0,47.0,40.0,17.12,54.78,633.6,10.26,19.21,Zaid,Drip,Rainwater,3.11,No,48.34,East,Medium,33.32
Maize,Flowering,Silt,6.29,15.98,1.52,0.81,76.0,48.5,20.0,18.32,87.01,555.82,4.48,18.95,Zaid,Rainfed,Groundwater,6.79,No,33.19,West,Medium,31.41
Maize,Sowing,Sandy,5.74,46.23,0.7,0.38,76.0,48.5,20.0,21.6,51.7,1419.97,9.12,17.83,Kharif,Drip,River,2.37,No,15.12,Central,Low,6.9
Cotton,Harvest,Sandy,5.98,32.99,0.44,2.08,117.0,46.0,19.0,36.28,45.39,550.47,4.97,19.55,Zaid,Canal,Reservoir,10.54,Yes,37.77,West,Low,15.66
Cotton,Sowing,Clay,7.97,8.96,0.39,1.09,117.0,46.0,19.0,18.62,35.67,997.3,6.84,15.36,Rabi,Drip,Groundwater,7.94,Yes,70.54,West,Low,39.06
Maize,Sowing,Clay,7.94,16.64,0.86,2.75,76.0,48.5,20.0,24.5,88.15,1421.71,10.99,12.99,Kharif,Canal,Groundwater,11.83,Yes,46.39,Central,Low,27.3
Maize,Harvest,Loamy,4.92,47.44,0.66,3.22,76.0,48.5,20.0,37.11,46.62,1826.17,10.08,12.31,Zaid,Sprinkler,River,5.5,Yes,112.51,South,Low,41.2
Rice,Flowering,Loamy,6.68,61.19,0.61,2.26,80.0,47.0,40.0,30.17,92.7,405.08,7.39,19.62,Kharif,Canal,River,4.37,No,43.31,West,Medium,35.43
Maize,Sowing,Loamy,7.32,20.85,0.55,1.71,76.0,48.5,20.0,36.85,73.52,1461.93,4.99,2.23,Zaid,Drip,Groundwater,5.13,No,7.16,East,Medium,6.72
Rice,Vegetative,Loamy,5.09,9.6,0.56,2.6,80.0,47.0,40.0,20.66,45.12,252.73,6.08,13.32,Kharif,Sprinkler,River,11.58,No,86.16,East,High,115.82
Cotton,Vegetative,Silt,6.89,10.46,1.58,0.32,117.0,46.0,19.0,35.23,50.92,1214.95,10.29,16.67,Rabi,Canal,River,2.58,No,38.17,South,High,46.22
Maize,Vegetative,Silt,5.6,27.52,0.78,1.14,76.0,48.5,20.0,20.27,91.16,1481.3,10.88,12.51,Rabi,Rainfed,Rainwater,7.45,No,20.16,East,Medium,15.29
Maize,Sowing,Clay,6.44,12.38,0.76,1.56,76.0,48.5,20.0,26.43,25.93,931.09,4.57,16.71,Rabi,Canal,River,12.87,No,26.51,East,Medium,22.72
Rice,Harvest,Silt,6.26,30.4,1.13,1.04,80.0,47.0,40.0,39.87,61.75,1675.42,6.78,6.84,Zaid,Sprinkler,River,5.82,Yes,61.52,West,Low,26.92
Rice,Harvest,Silt,5.62,14.79,1.28,2.73,80.0,47.0,40.0,35.62,62.5,1216.18,6.68,8.31,Rabi,Canal,Rainwater,12.29,Yes,4.7,South,Low,2.15
Maize,Sowing,Clay,6.52,13.71,1.28,2.31,76.0,48.5,20.0,33.61,62.44,695.66,5.96,4.4,Zaid,Rainfed,Reservoir,0.46,No,114.03,North,Medium,104.65
Rice,Sowing,Loamy,7.41,54.03,1.42,3.37,80.0,47.0,40.0,16.7,66.33,738.24,9.23,10.18,Zaid,Rainfed,Reservoir,7.49,No,27.5,South,Low,11.01
Cotton,Vegetative,Sandy,5.01,15.71,0.93,0.76,117.0,46.0,19.0,38.16,86.24,584.53,6.41,17.99,Rabi,Canal,Groundwater,0.69,Yes,98.28,North,Medium,93.98
Maize,Vegetative,Silt,6.76,41.94,1.11,3.19,76.0,48.5,20.0,35.2,39.75,2385.45,5.45,7.62,Zaid,Canal,River,12.77,No,111.48,Central,Medium,86.29
Maize,Sowing,Loamy,7.67,25.3,0.95,1.88,76.0,48.5,20.0,17.78,53.37,1512.36,7.72,15.62,Zaid,Canal,Rainwater,12.91,No,112.23,East,Low,59.08
Maize,Vegetative,Silt,5.69,39.87,1.47,1.0,76.0,48.5,20.0,35.14,89.3,166.18,6.87,1.46,Rabi,Drip,River,13.45,Yes,58.61,Central,Medium,63.22
Rice,Harvest,Clay,6.33,34.55,0.52,3.05,80.0,47.0,40.0,28.9,40.2,4.88,5.78,3.68,Rabi,Rainfed,River,13.74,No,16.82,South,Low,9.85
Rice,Vegetative,Loamy,6.76,11.29,1.47,0.52,80.0,47.0,40.0,41.82,78.36,117.09,10.59,16.32,Rabi,Rainfed,Reservoir,10.84,No,57.71,North,High,103.4
Rice,Vegetative,Loamy,6.74,18.63,1.08,1.41,80.0,47.0,40.0,14.07,83.45,412.84,5.04,8.99,Zaid,Rainfed,Rainwater,0.48,Yes,86.79,South,Medium,73.6
Rice,Flowering,Silt,5.93,39.95,0.34,1.24,80.0,47.0,40.0,38.02,83.25,2274.93,4.78,4.11,Zaid,Canal,River,3.06,Yes,71.14,South,Low,48.31
Maize,Flowering,Loamy,7.41,41.23,1.49,2.99,76.0,48.5,20.0,21.5,49.01,1185.97,7.74,4.29,Zaid,Rainfed,Rainwater,7.44,Yes,48.76,Central,Low,27.94
Maize,Sowing,Clay,7.74,50.42,0.92,0.56,76.0,48.5,20.0,16.42,73.54,144.37,4.45,15.73,Rabi,Drip,Reservoir,2.8,Yes,81.36,Central,Low,46.86
Cotton,Vegetative,Silt,6.84,59.49,0.75,1.68,117.0,46.0,19.0,16.14,70.52,1215.23,10.48,4.55,Rabi,Sprinkler,River,5.66,No,0.88,East,Low,0.33
Rice,Flowering,Clay,5.77,20.35,0.37,0.67,80.0,47.0,40.0,39.64,73.41,293.45,10.89,18.26,Zaid,Drip,Rainwater,2.28,No,66.08,West,High,123.24
Rice,Vegetative,Sandy,5.76,42.03,0.79,0.27,80.0,47.0,40.0,31.77,64.85,2422.47,7.67,4.84,Rabi,Rainfed,Groundwater,14.42,No,33.61,South,Medium,25.18
Maize,Harvest,Sandy,7.94,10.03,1.38,1.94,76.0,48.5,20.0,16.69,67.96,605.71,8.77,14.42,Zaid,Drip,Groundwater,9.29,Yes,109.22,Central,Low,41.46
Rice,Flowering,Silt,6.88,23.58,1.45,2.82,80.0,47.0,40.0,25.67,80.3,1072.78,9.18,9.35,Rabi,Rainfed,Rainwater,7.56,No,23.38,Central,Medium,23.21
Maize,Sowing,Loamy,6.66,44.5,1.5,2.54,76.0,48.5,20.0,12.88,37.36,711.48,4.57,2.19,Kharif,Sprinkler,Reservoir,5.1,No,60.65,Central,Low,26.2
Cotton,Harvest,Silt,7.7,27.52,0.43,0.42,117.0,46.0,19.0,27.37,54.12,2135.06,7.61,16.54,Rabi,Canal,Rainwater,6.06,Yes,29.12,West,Low,11.63
Maize,Vegetative,Silt,6.7,23.2,0.92,3.01,76.0,48.5,20.0,25.07,44.74,72.0,5.84,12.15,Zaid,Drip,Rainwater,11.08,Yes,68.61,Central,High,107.74
Maize,Vegetative,Sandy,6.55,64.14,1.53,2.72,76.0,48.5,20.0,21.41,45.45,1325.23,7.63,8.78,Rabi,Canal,River,10.35,Yes,30.96,West,Low,11.66
Cotton,Vegetative,Sandy,4.85,9.65,1.17,3.22,117.0,46.0,19.0,40.99,38.59,69.02,6.0,9.12,Zaid,Rainfed,Groundwater,1.17,No,80.54,West,High,149.33
Rice,Harvest,Sandy,5.07,23.6,1.54,1.15,80.0,47.0,40.0,21.88,73.77,791.84,5.11,5.48,Rabi,Sprinkler,River,6.63,Yes,20.0,Central,Low,7.8
Maize,Flowering,Clay,7.12,23.35,0.77,0.15,76.0,48.5,20.0,27.32,50.98,2399.33,8.25,9.34,Zaid,Drip,Groundwater,10.51,No,112.54,East,Medium,113.75
Rice,Harvest,Sandy,5.23,63.95,1.1,3.07,80.0,47.0,40.0,35.45,52.1,2293.1,4.23,6.91,Rabi,Drip,Reservoir,10.3,Yes,34.05,Central,Low,10.31
Rice,Vegetative,Silt,6.78,48.56,1.08,0.29,80.0,47.0,40.0,26.25,40.5,558.94,5.03,4.8,Zaid,Canal,River,9.21,No,80.21,West,Low,37.48
Maize,Sowing,Clay,7.86,51.42,1.53,2.64,76.0,48.5,20.0,32.86,82.36,1750.59,10.76,13.21,Rabi,Drip,Reservoir,11.57,No,76.81,West,Low,37.16
Maize,Vegetative,Sandy,6.92,61.49,0.5,1.26,76.0,48.5,20.0,29.47,43.72,2220.26,7.07,1.44,Rabi,Rainfed,Reservoir,6.6,No,26.9,East,Low,11.32
Maize,Harvest,Clay,5.49,56.5,0.99,2.94,76.0,48.5,20.0,24.51,63.36,2009.15,4.02,4.92,Kharif,Canal,Reservoir,12.71,No,94.78,East,Low,28.09
Rice,Sowing,Clay,7.39,20.03,1.53,2.28,80.0,47.0,40.0,28.15,54.89,2442.81,5.02,18.08,Zaid,Sprinkler,Rainwater,5.14,Yes,4.38,North,Low,2.67
Rice,Flowering,Clay,5.43,22.11,1.24,2.65,80.0,47.0,40.0,30.59,70.95,464.87,7.78,4.26,Rabi,Drip,Groundwater,2.1,No,53.76,South,Medium,60.12
Rice,Sowing,Loamy,7.37,42.23,0.64,1.86,80.0,47.0,40.0,21.19,73.77,320.05,9.6,1.67,Zaid,Canal,Groundwater,2.42,Yes,98.19,East,Low,56.05
Cotton,Vegetative,Silt,5.57,27.01,1.17,2.04,117.0,46.0,19.0,23.87,78.39,193.53,10.84,16.43,Zaid,Rainfed,Groundwater,0.49,No,29.43,Central,Medium,31.17
Cotton,Flowering,Clay,6.9,33.17,0.84,2.92,117.0,46.0,19.0,14.15,73.15,550.49,7.9,10.78,Kharif,Canal,River,0.85,No,31.83,East,Medium,26.11
Rice,Vegetative,Silt,6.39,36.11,0.45,1.82,80.0,47.0,40.0,17.81,29.12,666.94,6.39,5.93,Kharif,Canal,Reservoir,14.01,Yes,85.15,North,Low,40.95
Cotton,Vegetative,Sandy,8.15,17.06,1.37,3.01,117.0,46.0,19.0,33.73,71.78,222.22,6.75,4.6,Rabi,Drip,Rainwater,12.05,No,53.72,North,High,84.09
Maize,Harvest,Loamy,7.58,48.72,1.45,2.11,76.0,48.5,20.0,39.0,80.97,2427.27,10.96,12.21,Kharif,Rainfed,Rainwater,6.72,Yes,73.97,Central,Low,27.2
Maize,Sowing,Clay,7.81,26.63,1.59,3.11,76.0,48.5,20.0,18.05,90.49,954.42,8.18,10.31,Zaid,Canal,Rainwater,3.13,Yes,34.54,East,Low,18.04
Cotton,Flowering,Clay,7.9,12.51,1.24,3.04,117.0,46.0,19.0,30.55,82.52,423.03,8.67,7.8,Rabi,Rainfed,Rainwater,7.51,Yes,94.87,North,Medium,112.16
Rice,Harvest,Sandy,6.12,14.71,1.4,2.25,80.0,47.0,40.0,24.66,82.24,1794.78,8.56,2.11,Rabi,Drip,Groundwater,4.14,Yes,77.43,South,Low,31.95
Maize,Flowering,Clay,7.62,18.02,0.9,0.84,76.0,48.5,20.0,40.69,33.05,37.8,9.77,15.63,Rabi,Sprinkler,Reservoir,12.92,Yes,40.05,North,High,91.05
Maize,Vegetative,Clay,7.98,37.29,0.93,2.79,76.0,48.5,20.0,26.96,59.1,1208.91,9.24,16.59,Kharif,Canal,Groundwater,11.19,Yes,37.29,Central,Low,19.5
Cotton,Flowering,Sandy,8.0,46.39,0.98,2.06,117.0,46.0,19.0,20.55,44.22,2221.58,7.39,3.85,Rabi,Canal,River,7.21,No,116.25,East,Low,62.84
Maize,Harvest,Loamy,7.1,32.15,1.18,0.59,76.0,48.5,20.0,20.74,54.84,1874.67,7.21,15.97,Zaid,Sprinkler,Groundwater,9.62,No,16.41,East,Low,5.9
Rice,Vegetative,Clay,6.04,37.12,1.24,2.83,80.0,47.0,40.0,35.26,67.34,820.46,6.74,19.56,Kharif,Sprinkler,Groundwater,6.83,No,91.09,East,Medium,73.69
Rice,Vegetative,Clay,7.99,20.2,0.76,1.15,80.0,47.0,40.0,15.86,61.21,1493.8,5.86,14.63,Zaid,Drip,Groundwater,11.98,Yes,0.3,West,Medium,0.23
Maize,Sowing,Loamy,5.74,39.45,1.04,2.72,76.0,48.5,20.0,36.69,91.85,1788.82,4.23,5.3,Kharif,Sprinkler,Groundwater,8.99,No,52.36,West,Low,29.42
Maize,Sowing,Clay,7.18,12.19,1.57,1.0,76.0,48.5,20.0,28.17,30.71,989.19,10.31,15.97,Zaid,Sprinkler,River,1.15,No,86.41,North,Medium,75.33
Rice,Harvest,Sandy,7.4,24.18,0.6,0.82,80.0,47.0,40.0,18.87,45.85,2247.0,10.51,9.26,Rabi,Rainfed,River,11.98,Yes,112.14,North,Low,42.18
Cotton,Vegetative,Clay,7.96,21.85,0.55,0.55,117.0,46.0,19.0,35.59,25.53,2354.46,8.06,11.67,Zaid,Canal,River,2.12,No,108.56,South,High,130.01
Maize,Harvest,Loamy,7.51,29.59,0.84,0.64,76.0,48.5,20.0,26.49,71.35,2278.1,10.15,2.93,Zaid,Canal,Reservoir,2.04,No,99.26,South,Low,38.63
Maize,Sowing,Loamy,7.31,54.63,0.33,2.2,76.0,48.5,20.0,23.68,57.99,1781.7,9.23,18.58,Kharif,Sprinkler,Reservoir,12.58,No,119.42,Central,Low,51.14
Rice,Vegetative,Silt,5.02,60.03,0.75,2.14,80.0,47.0,40.0,19.38,29.7,2220.35,5.76,19.76,Kharif,Drip,Groundwater,13.3,No,69.81,North,Medium,38.53
Rice,Sowing,Sandy,6.12,19.53,1.35,2.09,80.0,47.0,40.0,34.63,38.72,1061.89,9.62,6.95,Zaid,Canal,Groundwater,14.67,Yes,78.76,North,Low,51.07
Rice,Flowering,Clay,5.76,38.95,1.34,2.28,80.0,47.0,40.0,31.18,37.13,1652.99,7.3,14.44,Kharif,Canal,Reservoir,2.73,Yes,9.68,West,Medium,8.9
Rice,Sowing,Clay,5.84,44.3,0.94,2.87,80.0,47.0,40.0,18.2,60.78,588.45,10.21,8.72,Zaid,Canal,Reservoir,12.8,No,118.11,East,Low,52.94
Maize,Flowering,Silt,8.14,37.74,0.91,3.21,76.0,48.5,20.0,35.83,72.44,1877.75,5.73,1.04,Zaid,Rainfed,Reservoir,8.85,Yes,109.86,East,Low,74.63
Rice,Vegetative,Sandy,7.24,18.94,0.59,2.1,80.0,47.0,40.0,13.78,34.13,1202.36,8.98,3.28,Zaid,Canal,Rainwater,4.6,Yes,56.66,West,Medium,43.09
Cotton,Flowering,Sandy,6.08,30.87,0.31,0.51,117.0,46.0,19.0,37.58,85.09,1380.86,7.94,16.83,Rabi,Rainfed,Rainwater,12.14,Yes,87.35,West,Medium,91.38
Cotton,Vegetative,Silt,7.53,53.35,0.92,2.32,117.0,46.0,19.0,41.75,44.35,1913.39,9.01,1.16,Kharif,Rainfed,Groundwater,3.94,Yes,86.81,West,Low,43.9
Maize,Flowering,Sandy,5.41,13.05,1.13,1.55,76.0,48.5,20.0,40.99,40.94,768.77,6.13,8.42,Rabi,Canal,Groundwater,9.19,No,65.23,East,Medium,76.06
Rice,Flowering,Clay,8.02,59.76,0.8,0.53,80.0,47.0,40.0,14.82,78.69,2440.3,8.87,1.83,Kharif,Sprinkler,Rainwater,10.69,Yes,66.45,North,Low,29.47
Rice,Vegetative,Clay,7.37,11.31,1.12,0.74,80.0,47.0,40.0,30.2,91.23,106.45,4.51,9.58,Zaid,Rainfed,Rainwater,5.2,Yes,106.21,Central,High,175.43
Maize,Vegetative,Clay,6.14,38.01,0.39,1.04,76.0,48.5,20.0,21.92,75.65,2470.24,4.96,11.06,Kharif,Drip,River,6.9,No,38.73,North,Medium,27.32
Maize,Flowering,Sandy,7.32,13.56,1.28,1.81,76.0,48.5,20.0,31.49,38.34,1227.81,7.49,10.58,Kharif,Canal,River,9.72,No,15.0,Central,High,21.06
Cotton,Vegetative,Clay,5.0,31.17,0.94,2.26,117.0,46.0,19.0,20.0,32.87,2378.41,9.67,11.73,Zaid,Drip,Groundwater,2.95,No,43.42,East,Medium,31.86
Maize,Vegetative,Clay,6.41,61.52,1.53,1.75,76.0,48.5,20.0,40.7,32.34,1211.67,9.19,4.46,Kharif,Canal,Rainwater,3.26,Yes,109.25,East,Low,50.58
Rice,Flowering,Loamy,5.37,64.59,0.7,3.41,80.0,47.0,40.0,28.84,42.0,1986.5,6.54,18.88,Kharif,Canal,Groundwater,11.88,Yes,25.93,East,Low,12.56
Rice,Flowering,Silt,6.01,62.67,1.35,2.81,80.0,47.0,40.0,30.13,68.9,977.28,8.75,3.92,Zaid,Canal,Rainwater,5.6,No,88.28,West,Medium,63.22
Maize,Harvest,Loamy,6.16,8.34,1.07,1.46,76.0,48.5,20.0,35.49,85.29,491.3,5.02,4.35,Zaid,Sprinkler,Groundwater,5.81,No,114.75,West,Medium,77.59
Cotton,Sowing,Loamy,5.0,10.72,1.57,1.4,117.0,46.0,19.0,14.44,94.48,1921.0,7.61,0.74,Zaid,Sprinkler,River,5.52,Yes,27.42,South,Low,14.6
Maize,Harvest,Sandy,6.78,16.41,0.92,3.26,76.0,48.5,20.0,33.41,76.2,2275.27,9.86,0.88,Kharif,Sprinkler,Rainwater,2.18,Yes,84.45,Central,Low,37.91
Maize,Harvest,Loamy,7.81,27.89,1.31,2.43,76.0,48.5,20.0,16.95,35.22,114.32,4.75,8.86,Zaid,Canal,Reservoir,12.81,No,33.71,North,Low,17.13
Rice,Sowing,Sandy,5.32,55.31,1.3,2.21,80.0,47.0,40.0,34.21,44.44,2149.75,9.79,4.07,Zaid,Sprinkler,Rainwater,8.66,Yes,98.25,Central,Low,46.23
Rice,Flowering,Sandy,6.83,58.88,0.95,2.68,80.0,47.0,40.0,16.24,34.24,1094.66,7.17,4.63,Kharif,Rainfed,Rainwater,14.92,No,102.05,South,Low,46.32
Rice,Flowering,Loamy,7.06,18.65,1.33,2.01,80.0,47.0,40.0,36.97,33.09,722.83,9.76,19.76,Zaid,Rainfed,Reservoir,7.9,No,62.8,East,High,92.69
Cotton,Vegetative,Silt,7.18,60.29,0.46,1.19,117.0,46.0,19.0,23.58,88.47,513.81,5.12,6.79,Kharif,Sprinkler,Reservoir,12.21,No,66.06,South,Low,26.89
Rice,Vegetative,Silt,6.2,34.43,0.85,2.0,80.0,47.0,40.0,22.77,72.9,832.17,8.72,7.19,Kharif,Rainfed,Reservoir,12.31,No,99.22,South,Low,51.01
Maize,Flowering,Loamy,7.15,29.42,1.13,2.67,76.0,48.5,20.0,15.56,58.27,1842.1,8.4,2.42,Zaid,Rainfed,Rainwater,2.47,No,27.68,Central,Low,16.5
Maize,Flowering,Loamy,7.05,40.93,1.11,0.66,76.0,48.5,20.0,26.16,90.62,1717.15,4.76,11.89,Zaid,Drip,River,11.61,No,93.27,West,Medium,80.27
Cotton,Harvest,Loamy,8.13,64.66,1.22,2.2,117.0,46.0,19.0,29.58,48.28,107.58,7.5,12.81,Rabi,Canal,Groundwater,7.6,No,53.56,West,Medium,31.06
Maize,Sowing,Clay,6.23,38.98,1.56,0.7,76.0,48.5,20.0,16.49,31.52,1171.47,8.88,8.06,Zaid,Canal,Groundwater,8.68,No,100.36,Central,Low,46.38
Maize,Harvest,Silt,6.51,35.0,0.52,2.84,76.0,48.5,20.0,32.03,82.47,856.96,9.61,2.41,Rabi,Rainfed,Reservoir,13.02,No,22.9,Central,Low,8.98
Cotton,Sowing,Sandy,7.89,62.41,0.83,2.34,117.0,46.0,19.0,41.75,36.85,1941.83,10.11,15.46,Rabi,Sprinkler,Rainwater,1.56,No,48.44,South,Low,22.2
Cotton,Harvest,Sandy,7.51,54.06,0.79,0.63,117.0,46.0,19.0,20.8,77.09,153.02,7.57,5.45,Zaid,Drip,Groundwater,0.97,No,52.24,Central,Low,21.13
Maize,Sowing,Loamy,6.11,9.89,1.31,3.1,76.0,48.5,20.0,34.61,56.81,1457.54,4.16,8.89,Kharif,Rainfed,Reservoir,2.67,Yes,71.49,West,Low,46.35
Cotton,Sowing,Sandy,5.08,51.2,1.19,0.65,117.0,46.0,19.0,15.76,80.39,93.61,11.0,18.02,Zaid,Sprinkler,Groundwater,5.41,No,6.51,North,Medium,5.47
Rice,Flowering,Clay,6.43,60.65,1.51,2.34,80.0,47.0,40.0,29.45,74.15,162.57,4.63,11.38,Zaid,Drip,Reservoir,4.37,Yes,51.11,South,Medium,51.04
Rice,Vegetative,Clay,5.03,52.63,1.17,2.26,80.0,47.0,40.0,26.07,35.85,1140.87,5.14,0.86,Zaid,Rainfed,River,2.19,Yes,92.44,Central,Low,41.39
Cotton,Harvest,Silt,6.22,53.61,0.36,0.61,117.0,46.0,19.0,12.24,94.75,332.81,7.91,12.99,Rabi,Drip,Rainwater,14.88,No,106.63,East,Low,35.27
